City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,275.25,85,98,1.2,US,1704542009
1,zhangye,38.9342,100.4517,270.65,35,6,1.91,CN,1704541712
2,touros,-5.1989,-35.4608,302.63,62,96,5.38,BR,1704542011
3,west island,-12.1568,96.8225,301.14,89,40,4.12,CC,1704542011
4,sorong,-0.8833,131.25,300.81,78,100,1.16,ID,1704542013
5,weno,7.4515,151.8468,301.83,77,78,7.1,FM,1704542014
6,bredasdorp,-34.5322,20.0403,299.76,41,62,8.92,ZA,1704542015
7,port-aux-francais,-49.35,70.2167,279.05,80,73,13.81,TF,1704541759
8,freetown,8.484,-13.2299,301.99,79,75,3.09,SL,1704542016
9,faro,37.0194,-7.9322,287.03,58,0,3.6,PT,1704542017
10,punta arenas,-53.15,-70.9167,283.21,71,75,7.2,CL,1704542017
11,la ferte-sous-jouarre,48.9514,3.1272,280.58,86,100,5.05,FR,1704542018
12,blackmans bay,-43.0167,147.3167,289.22,85,72,1.37,AU,1704542019
13,ust-nera,64.5667,143.2,231.4,99,100,1.27,RU,1704542019
14,motueka,-41.1333,173.0167,289.87,86,100,0.6,NZ,1704542020
15,ribeira grande,38.5167,-28.7,290.8,77,75,8.94,PT,1704541979
16,edinburgh of the seven seas,-37.0676,-12.3116,287.73,63,68,3.2,SH,1704542021
17,fallon,39.4735,-118.7774,270.08,74,0,2.57,US,1704542022
18,dhuusamarreeb,5.535,46.3861,305.52,21,82,6.96,SO,1704542022
19,longyearbyen,78.2186,15.6401,257.06,66,75,3.09,SJ,1704542023
20,tefe,-3.3542,-64.7114,298.21,94,40,1.03,BR,1704542023
21,adamstown,-25.066,-130.1015,295.79,75,98,7.46,PN,1704542024
22,malpica,43.3228,-8.8105,283.91,81,65,2.25,ES,1704542025
23,lebu,-37.6167,-73.65,288.09,90,14,0.4,CL,1704542026
24,palikir - national government center,6.9248,158.1611,300.74,73,99,8.72,FM,1704542027
25,port alfred,-33.5906,26.891,297.14,74,73,4.02,ZA,1704542027
26,waitangi,-43.9535,-176.5597,285.27,98,100,3.13,NZ,1704542028
27,antofagasta,-23.65,-70.4,293.75,69,37,3.2,CL,1704542029
28,bikenibeu village,1.3673,173.1241,301.13,83,75,1.03,KI,1704542030
29,ar ruways,24.1103,52.7306,294.82,57,0,7.31,AE,1704542030
30,san antonio de pale,-1.4014,5.6325,300.63,73,18,3.59,GQ,1704542031
31,grytviken,-54.2811,-36.5092,278.05,81,97,1.18,GS,1704542032
32,invercargill,-46.4,168.35,287.05,92,74,4.47,NZ,1704541807
33,ushuaia,-54.8,-68.3,280.96,76,0,1.54,AR,1704541901
34,mount gambier,-37.8333,140.7667,291.39,99,100,3.27,AU,1704542034
35,bilibino,68.0546,166.4372,239.15,97,100,1.32,RU,1704542035
36,mejit,10.2753,170.8646,299.76,67,89,7.79,MH,1704542036
37,hermanus,-34.4187,19.2345,295.17,64,84,8.85,ZA,1704542037
38,talnakh,69.4865,88.3972,251.04,91,86,4.22,RU,1704542037
39,avarua,-21.2078,-159.775,298.18,94,75,4.63,CK,1704541761
40,howrah,22.5892,88.3103,296.15,56,5,2.57,IN,1704542039
41,howard springs,-12.497,131.047,301.1,91,74,2.15,AU,1704542039
42,pytalovo,57.0679,27.9138,258.38,94,92,2.27,RU,1704542040
43,monrovia,6.3005,-10.7969,302.7,68,11,1.87,LR,1704542041
44,newman,37.3138,-121.0208,279.9,82,48,1.57,US,1704542042
45,yellowknife,62.456,-114.3525,243.44,69,20,2.06,CA,1704541926
46,puerto natales,-51.7236,-72.4875,285.4,50,75,1.03,CL,1704541931
47,eyl,7.9803,49.8164,300.96,46,48,10.86,SO,1704542044
48,remire-montjoly,4.9167,-52.2667,300.17,83,75,3.6,GF,1704542045
49,albany,42.6001,-73.9662,271.93,81,84,0.45,US,1704542046
50,aasiaat,68.7098,-52.8699,258.71,80,94,2.08,GL,1704542046
51,kikwit,-5.041,18.8162,305.77,46,56,0.41,CD,1704542047
52,port elizabeth,-33.918,25.5701,299.32,62,0,9.77,ZA,1704541808
53,rio grande,-32.035,-52.0986,297.21,81,76,7.43,BR,1704542048
54,oxapampa,-10.5775,-75.4017,288.68,95,100,0.73,PE,1704542049
55,leh,34.1667,77.5833,268.47,38,4,0.85,IN,1704542050
56,cill airne,52.05,-9.5167,277.18,100,40,0.51,IE,1704542051
57,hithadhoo,-0.6,73.0833,301.22,76,100,6.21,MV,1704542052
58,chibougamau,49.9168,-74.3659,253.94,78,100,1.54,CA,1704542053
59,saipan,15.1355,145.701,300.54,83,75,5.14,MP,1704542054
60,kalmunai,7.4167,81.8167,300.26,82,86,2.96,LK,1704541777
61,pubal,37.2917,127.5078,273.84,59,40,1.54,KR,1704542055
62,xinzhi,36.4989,111.7047,272.78,34,0,2.2,CN,1704541949
63,winnemucca,40.973,-117.7357,271.18,69,0,6.17,US,1704542057
64,piacabucu,-10.4056,-36.4344,303.02,59,100,5.48,BR,1704542058
65,praia da vitoria,38.7333,-27.0667,290.79,82,20,4.51,PT,1704542058
66,iqaluit,63.7506,-68.5145,247.0,76,0,2.06,CA,1704542059
67,bethel,41.3712,-73.414,270.32,88,90,0.86,US,1704542061
68,isafjordur,66.0755,-23.124,271.17,74,40,1.03,IS,1704542062
69,nanpiao,41.0982,120.7479,268.35,43,15,2.64,CN,1704542063
70,puerto ayora,-0.7393,-90.3518,297.9,98,99,2.5,EC,1704542065
71,margaret river,-33.95,115.0667,290.23,81,77,6.52,AU,1704541791
72,crane,31.3974,-102.3501,277.65,55,52,1.97,US,1704542067
73,st. john's,47.5649,-52.7093,268.81,89,100,13.38,CA,1704542068
74,dolores,-36.3132,-57.6792,292.88,94,100,5.54,AR,1704542069
75,mugia,43.1041,-9.2179,283.1,65,50,3.27,ES,1704542070
76,uzhur,55.3036,89.8339,270.07,80,100,4.28,RU,1704542072
77,harare,-17.8294,31.0539,299.72,54,10,0.86,ZW,1704542075
78,klyuchi,52.2667,79.1667,265.65,95,99,2.72,RU,1704542076
79,hotan,37.0997,79.9269,273.41,41,50,2.88,CN,1704542077
80,kerema,-7.9631,145.7785,299.56,88,100,2.1,PG,1704542078
81,hawaiian paradise park,19.5933,-154.9731,295.39,97,80,2.13,US,1704542081
82,kone,-21.0595,164.8658,298.53,84,31,0.91,NC,1704542082
83,iskateley,67.6803,53.1512,257.05,95,73,3.13,RU,1704542085
84,tiksi,71.6872,128.8694,240.23,98,50,3.46,RU,1704542087
85,sisimiut,66.9395,-53.6735,261.1,88,100,2.95,GL,1704542088
86,capo d'orlando,38.1435,14.7305,291.71,70,85,8.79,IT,1704542088
